iter	Passed	Remaining
906	30739	3151
907	30782	3118
908	30820	3085
909	30856	3051
910	30892	3018
911	30929	2984
912	30966	2950
913	31003	2917
914	31039	2883
915	31078	2850
916	31123	2817
917	31166	2783
918	31212	2751
919	31259	2718
920	31299	2684
921	31341	2651
922	31378	2617
923	31416	2584
924	31452	2550
925	31488	2516
926	31524	2482
927	31562	2448
928	31597	2414
929	31634	2381
930	31667	2347
931	31701	2313
932	31738	2279
933	31778	2245
934	31814	2211
935	31849	2177
936	31884	2143
937	31920	2109
938	31956	2075
939	31990	2041
940	32026	2008
941	32073	1974
942	32121	1941
943	32172	1908
944	32224	1875
945	32262	1841
946	32300	1807
947	32338	1773
948	32375	1739
949	32413	1705
950	32453	1672
951	32492	1638
952	32532	1604
953	32580	1570
954	32632	1537
955	32682	1504
956	32726	1470
957	32766	1436
958	32806	1402
959	32846	1368
960	32883	1334
961	32917	1300
962	32953	1266
963	32991	1232
964	33029	1197
965	33065	1163
966	33104	1129
967	33148	1095
968	33193	1061
969	33234	1027
970	33275	993
971	33317	959
972	33373	926
973	33409	891
974	33444	857
975	33479	823
976	33515	788
977	33553	754
978	33590	720
979	33625	686
980	33661	651
981	33696	617
982	33736	583
983	33863	550
984	33940	516
985	33990	482
986	34030	448
987	34070	413
988	34107	379
989	34142	344
990	34178	310
991	34215	275
992	34250	241
993	34287	206
994	34326	172
995	34370	138
996	34414	103
997	34460	69
998	34502	34
999	34542	0
